"Default","checkingstatus1","duration","history","purpose","amount","savings","employ","installment","status","others","residence","property","age","otherplans","housing","cards","job","liable","tele","foreign","rent"
"0","A12",24,"poor","usedcar",2760,"A65","A75",4,"A93","A101","4","A124",36,"A141","A153","1","A173","1","A192","foreign","FALSE"
"1","A12",18,"poor","goods/repair",4297,"A61","A75",4,"A91","A101","3","A124",40,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A14",9,"terrible","edu",936,"A63","A75",4,"A93","A101","2","A123",52,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A11",12,"poor","newcar",1168,"A61","A73",4,"A94","A101","3","A121",27,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",27,"poor","biz",5117,"A61","A74",3,"A93","A101","4","A123",26,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A11",12,"poor","edu",902,"A61","A74",4,"A94","A101","4","A122",21,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A14",12,"terrible","newcar",1495,"A61","A75",4,"A93","A101","1","A121",38,"A143","A152","2","A172","2","A191","foreign","FALSE"
"0","A11",30,"terrible","usedcar",10623,"A61","A75",3,"A93","A101","4","A124",38,"A143","A153","3","A174","2","A192","foreign","FALSE"
"0","A14",12,"terrible","goods/repair",1935,"A61","A75",4,"A93","A101","4","A121",43,"A143","A152","3","A173","1","A192","foreign","FALSE"
"0","A12",12,"terrible","goods/repair",1424,"A61","A74",4,"A93","A101","3","A122",26,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",24,"poor","biz",6568,"A61","A73",2,"A94","A101","2","A123",21,"A142","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",12,"poor","usedcar",1413,"A64","A74",3,"A93","A101","2","A122",55,"A143","A152","1","A173","1","A191","german","FALSE"
"0","A14",9,"terrible","goods/repair",3074,"A65","A73",1,"A93","A101","2","A121",33,"A143","A152","2","A173","2","A191","foreign","FALSE"
"0","A14",36,"poor","goods/repair",3835,"A65","A75",2,"A92","A101","4","A121",45,"A143","A152","1","A172","1","A192","foreign","FALSE"
"1","A11",27,"good","biz",5293,"A61","A71",2,"A93","A101","4","A122",50,"A142","A152","2","A173","1","A192","foreign","FALSE"
"1","A13",30,"poor","biz",1908,"A61","A75",4,"A93","A101","4","A121",66,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A14",36,"terrible","goods/repair",3342,"A65","A75",4,"A93","A101","2","A123",51,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",6,"terrible","edu",932,"A65","A74",1,"A92","A101","3","A122",39,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A11",18,"good","biz",3104,"A61","A74",3,"A93","A101","1","A122",31,"A141","A152","1","A173","1","A192","foreign","FALSE"
"0","A13",36,"poor","goods/repair",3913,"A61","A73",2,"A93","A101","2","A121",23,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A11",24,"poor","goods/repair",3021,"A61","A73",2,"A91","A101","2","A121",24,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A14",10,"poor","newcar",1364,"A61","A73",2,"A92","A101","4","A123",64,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",12,"poor","goods/repair",625,"A61","A72",4,"A94","A103","1","A121",26,"A141","A152","1","A172","1","A191","foreign","FALSE"
"0","A11",12,"poor","edu",1200,"A65","A73",4,"A92","A101","4","A122",23,"A141","A151","1","A173","1","A192","foreign","TRUE"
"0","A14",12,"poor","goods/repair",707,"A61","A73",4,"A93","A101","2","A121",30,"A141","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",24,"poor","biz",2978,"A65","A73",4,"A93","A101","4","A121",32,"A143","A152","2","A173","2","A192","foreign","FALSE"
"0","A14",15,"poor","usedcar",4657,"A61","A73",3,"A93","A101","2","A123",30,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",36,"good","goods/repair",2613,"A61","A73",4,"A93","A101","2","A123",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",48,"poor","goods/repair",10961,"A64","A74",1,"A93","A102","2","A124",27,"A141","A152","2","A173","1","A192","foreign","FALSE"
"1","A11",12,"poor","goods/repair",7865,"A61","A75",4,"A93","A101","4","A124",53,"A143","A153","1","A174","1","A192","foreign","FALSE"
"1","A14",9,"poor","goods/repair",1478,"A61","A74",4,"A93","A101","2","A123",22,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",24,"poor","goods/repair",3149,"A61","A72",4,"A93","A101","1","A124",22,"A141","A153","1","A173","1","A191","foreign","FALSE"
"1","A13",36,"poor","goods/repair",4210,"A61","A73",4,"A93","A101","2","A123",26,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",9,"poor","newcar",2507,"A63","A75",2,"A93","A101","4","A124",51,"A143","A153","1","A172","1","A191","foreign","FALSE"
"0","A14",12,"poor","goods/repair",2141,"A62","A74",3,"A93","A101","1","A124",35,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",18,"poor","goods/repair",866,"A61","A73",4,"A94","A103","2","A121",25,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",4,"terrible","goods/repair",1544,"A61","A74",2,"A93","A101","1","A121",42,"A143","A152","3","A172","2","A191","foreign","FALSE"
"1","A11",24,"poor","goods/repair",1823,"A61","A71",4,"A93","A101","2","A123",30,"A142","A152","1","A174","2","A191","foreign","FALSE"
"1","A12",6,"poor","newcar",14555,"A65","A71",1,"A93","A101","2","A122",23,"A143","A152","1","A171","1","A192","foreign","FALSE"
"1","A12",21,"poor","biz",2767,"A62","A75",4,"A91","A101","2","A123",61,"A141","A151","2","A172","1","A191","foreign","TRUE"
"0","A14",12,"terrible","goods/repair",1291,"A61","A73",4,"A92","A101","2","A122",35,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",30,"poor","goods/repair",2522,"A61","A75",1,"A93","A103","3","A122",39,"A143","A152","1","A173","2","A191","foreign","FALSE"
"1","A11",24,"poor","newcar",915,"A65","A75",4,"A92","A101","2","A123",29,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",6,"poor","goods/repair",1595,"A61","A74",3,"A93","A101","2","A122",51,"A143","A152","1","A173","2","A191","foreign","FALSE"
"1","A11",48,"good","usedcar",4605,"A61","A75",3,"A93","A101","4","A124",24,"A143","A153","2","A173","2","A191","foreign","FALSE"
"0","A14",12,"terrible","biz",1185,"A61","A73",3,"A92","A101","2","A121",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",12,"good","edu",3447,"A63","A73",4,"A92","A101","3","A121",35,"A143","A152","1","A172","2","A191","foreign","FALSE"
"0","A14",24,"poor","biz",1258,"A61","A74",4,"A93","A101","1","A121",25,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",12,"terrible","goods/repair",717,"A61","A75",4,"A93","A101","4","A121",52,"A143","A152","3","A173","1","A191","foreign","FALSE"
"0","A14",6,"good","newcar",1204,"A62","A73",4,"A93","A101","1","A124",35,"A141","A151","1","A173","1","A191","german","TRUE"
"0","A13",24,"poor","goods/repair",1925,"A61","A73",2,"A93","A101","2","A121",26,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A14",18,"poor","goods/repair",433,"A61","A71",3,"A92","A102","4","A121",22,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A11",6,"terrible","newcar",666,"A64","A74",3,"A92","A101","4","A121",39,"A143","A152","2","A172","1","A192","foreign","FALSE"
"0","A13",12,"poor","goods/repair",2251,"A61","A73",1,"A92","A101","2","A123",46,"A143","A152","1","A172","1","A191","foreign","FALSE"
"1","A12",30,"poor","newcar",2150,"A61","A73",4,"A92","A103","2","A124",24,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",24,"poor","goods/repair",4151,"A62","A73",2,"A93","A101","3","A122",35,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A12",9,"poor","goods/repair",2030,"A65","A74",2,"A93","A101","1","A123",24,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",60,"poor","goods/repair",7418,"A65","A73",1,"A93","A101","1","A121",27,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",24,"terrible","goods/repair",2684,"A61","A73",4,"A93","A101","2","A121",35,"A143","A152","2","A172","1","A191","foreign","FALSE"
"1","A11",12,"good","goods/repair",2149,"A61","A73",4,"A91","A101","1","A124",29,"A143","A153","1","A173","1","A191","foreign","FALSE"
"0","A14",15,"poor","usedcar",3812,"A62","A72",1,"A92","A101","4","A123",23,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",11,"terrible","goods/repair",1154,"A62","A71",4,"A92","A101","4","A121",57,"A143","A152","3","A172","1","A191","foreign","FALSE"
"0","A11",12,"poor","goods/repair",1657,"A61","A73",2,"A93","A101","2","A121",27,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",24,"poor","goods/repair",1603,"A61","A75",4,"A92","A101","4","A123",55,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",18,"terrible","newcar",5302,"A61","A75",2,"A93","A101","4","A124",36,"A143","A153","3","A174","1","A192","foreign","FALSE"
"0","A14",12,"terrible","edu",2748,"A61","A75",2,"A92","A101","4","A124",57,"A141","A153","3","A172","1","A191","foreign","FALSE"
"0","A14",10,"terrible","newcar",1231,"A61","A75",3,"A93","A101","4","A121",32,"A143","A152","2","A172","2","A191","german","FALSE"
"1","A12",15,"poor","goods/repair",802,"A61","A75",4,"A93","A101","3","A123",37,"A143","A152","1","A173","2","A191","foreign","FALSE"
"0","A14",36,"terrible","biz",6304,"A65","A75",4,"A93","A101","4","A121",36,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",24,"poor","goods/repair",1533,"A61","A72",4,"A92","A101","3","A123",38,"A142","A152","1","A173","1","A192","foreign","FALSE"
"1","A11",14,"poor","newcar",8978,"A61","A75",1,"A91","A101","4","A122",45,"A143","A152","1","A174","1","A192","german","FALSE"
"0","A14",24,"poor","goods/repair",999,"A65","A75",4,"A93","A101","2","A123",25,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",18,"poor","newcar",2662,"A65","A74",4,"A93","A101","3","A122",32,"A143","A152","1","A173","1","A191","german","FALSE"
"0","A14",12,"terrible","goods/repair",1402,"A63","A74",3,"A92","A101","4","A123",37,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A12",48,"good","newcar",12169,"A65","A71",4,"A93","A102","4","A124",36,"A143","A153","1","A174","1","A192","foreign","FALSE"
"1","A12",48,"poor","goods/repair",3060,"A61","A74",4,"A93","A101","4","A121",28,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A11",30,"poor","goods/repair",11998,"A61","A72",1,"A91","A101","1","A124",34,"A143","A152","1","A172","1","A192","foreign","FALSE"
"0","A14",9,"poor","goods/repair",2697,"A61","A73",1,"A93","A101","2","A121",32,"A143","A152","1","A173","2","A191","foreign","FALSE"
"0","A14",18,"terrible","goods/repair",2404,"A61","A73",2,"A92","A101","2","A123",26,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",12,"poor","goods/repair",1262,"A65","A75",2,"A91","A101","4","A122",49,"A143","A152","1","A172","1","A192","foreign","FALSE"
"1","A14",6,"poor","goods/repair",4611,"A61","A72",1,"A92","A101","4","A122",32,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",24,"poor","goods/repair",1901,"A62","A73",4,"A93","A101","4","A123",29,"A143","A151","1","A174","1","A192","foreign","TRUE"
"0","A14",15,"terrible","usedcar",3368,"A64","A75",3,"A93","A101","4","A124",23,"A143","A151","2","A173","1","A192","foreign","TRUE"
"0","A14",12,"poor","goods/repair",1574,"A61","A73",4,"A93","A101","2","A121",50,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A13",18,"good","goods/repair",1445,"A65","A74",4,"A93","A101","4","A123",49,"A141","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",15,"terrible","goods/repair",1520,"A65","A75",4,"A93","A101","4","A122",63,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",24,"terrible","newcar",3878,"A62","A72",4,"A91","A101","2","A123",37,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A11",47,"poor","newcar",10722,"A61","A72",1,"A92","A101","1","A121",35,"A143","A152","1","A172","1","A192","foreign","FALSE"
"0","A11",48,"poor","usedcar",4788,"A61","A74",4,"A93","A101","3","A122",26,"A143","A152","1","A173","2","A191","foreign","FALSE"
"0","A12",48,"poor","biz",7582,"A62","A71",2,"A93","A101","4","A124",31,"A143","A153","1","A174","1","A192","foreign","FALSE"
"0","A12",12,"poor","goods/repair",1092,"A61","A73",4,"A92","A103","4","A121",49,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A11",24,"poor","goods/repair",1024,"A61","A72",4,"A94","A101","4","A121",48,"A142","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",12,"poor","biz",1076,"A61","A73",2,"A94","A101","2","A121",26,"A143","A152","1","A173","1","A192","german","FALSE"
"1","A12",36,"poor","usedcar",9398,"A61","A72",1,"A94","A101","4","A123",28,"A143","A151","1","A174","1","A192","foreign","TRUE"
"0","A11",24,"terrible","usedcar",6419,"A61","A75",2,"A92","A101","4","A124",44,"A143","A153","2","A174","2","A192","foreign","FALSE"
"0","A13",42,"terrible","usedcar",4796,"A61","A75",4,"A93","A101","4","A124",56,"A143","A153","1","A173","1","A191","foreign","FALSE"
"0","A14",48,"terrible","biz",7629,"A65","A75",4,"A91","A101","2","A123",46,"A141","A152","2","A174","2","A191","foreign","FALSE"
"1","A12",48,"poor","goods/repair",9960,"A61","A72",1,"A92","A101","2","A123",26,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",12,"poor","usedcar",4675,"A65","A72",1,"A92","A101","4","A123",20,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A14",10,"poor","newcar",1287,"A65","A75",4,"A93","A102","2","A122",45,"A143","A152","1","A172","1","A191","german","FALSE"
"0","A14",18,"poor","goods/repair",2515,"A61","A73",3,"A93","A101","4","A121",43,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A12",21,"terrible","goods/repair",2745,"A64","A74",3,"A93","A101","2","A123",32,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",6,"poor","newcar",672,"A61","A71",1,"A92","A101","4","A121",54,"A143","A152","1","A171","1","A192","foreign","FALSE"
"1","A12",36,"good","goods/repair",3804,"A61","A73",4,"A92","A101","1","A123",42,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A13",24,"terrible","newcar",1344,"A65","A74",4,"A93","A101","2","A121",37,"A141","A152","2","A172","2","A191","foreign","FALSE"
"0","A11",10,"terrible","newcar",1038,"A61","A74",4,"A93","A102","3","A122",49,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A14",48,"terrible","newcar",10127,"A63","A73",2,"A93","A101","2","A124",44,"A141","A153","1","A173","1","A191","foreign","FALSE"
"0","A14",6,"poor","goods/repair",1543,"A64","A73",4,"A91","A101","2","A121",33,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",30,"poor","usedcar",4811,"A65","A74",2,"A92","A101","4","A122",24,"A142","A151","1","A172","1","A191","foreign","TRUE"
"1","A11",12,"poor","goods/repair",727,"A62","A72",4,"A94","A101","3","A124",33,"A143","A152","1","A172","1","A192","foreign","FALSE"
"1","A12",8,"poor","goods/repair",1237,"A61","A73",3,"A92","A101","4","A121",24,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",9,"poor","newcar",276,"A61","A73",4,"A94","A101","4","A121",22,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A12",48,"poor","biz",5381,"A65","A71",3,"A93","A101","4","A124",40,"A141","A153","1","A171","1","A192","foreign","FALSE"
"0","A14",24,"poor","goods/repair",5511,"A62","A73",4,"A93","A101","1","A123",25,"A142","A152","1","A173","1","A191","foreign","FALSE"
"0","A13",24,"poor","goods/repair",3749,"A61","A72",2,"A92","A101","4","A123",26,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A12",12,"poor","newcar",685,"A61","A74",2,"A94","A101","3","A123",25,"A141","A152","1","A172","1","A191","foreign","FALSE"
"0","A13",4,"poor","newcar",1494,"A65","A72",1,"A93","A101","2","A121",29,"A143","A152","1","A172","2","A191","german","FALSE"
"1","A11",36,"good","goods/repair",2746,"A61","A75",4,"A93","A101","4","A123",31,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",12,"poor","goods/repair",708,"A61","A73",2,"A93","A103","3","A122",38,"A143","A152","1","A172","2","A191","foreign","FALSE"
"0","A12",24,"poor","goods/repair",4351,"A65","A73",1,"A92","A101","4","A122",48,"A143","A152","1","A172","1","A192","foreign","FALSE"
"0","A14",12,"terrible","edu",701,"A61","A73",4,"A93","A101","2","A123",32,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",15,"poor","goods/repair",3643,"A61","A75",1,"A92","A101","4","A122",27,"A143","A152","2","A172","1","A191","foreign","FALSE"
"1","A12",30,"terrible","newcar",4249,"A61","A71",4,"A94","A101","2","A123",28,"A143","A152","2","A174","1","A191","foreign","FALSE"
"1","A11",24,"poor","goods/repair",1938,"A61","A72",4,"A91","A101","3","A122",32,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A11",24,"poor","usedcar",2910,"A61","A74",2,"A93","A101","1","A124",34,"A143","A153","1","A174","1","A192","foreign","FALSE"
"0","A11",18,"poor","goods/repair",2659,"A64","A73",4,"A93","A101","2","A123",28,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",18,"terrible","newcar",1028,"A61","A73",4,"A92","A101","3","A121",36,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",8,"terrible","newcar",3398,"A61","A74",1,"A93","A101","4","A121",39,"A143","A152","2","A172","1","A191","german","FALSE"
"0","A14",12,"terrible","goods/repair",5801,"A65","A75",2,"A93","A101","4","A122",49,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A14",24,"poor","newcar",1525,"A64","A74",4,"A92","A101","3","A123",34,"A143","A152","1","A173","2","A192","foreign","FALSE"
"0","A13",36,"poor","goods/repair",4473,"A61","A75",4,"A93","A101","2","A123",31,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",6,"poor","goods/repair",1068,"A61","A75",4,"A93","A101","4","A123",28,"A143","A152","1","A173","2","A191","foreign","FALSE"
"0","A11",24,"terrible","usedcar",6615,"A61","A71",2,"A93","A101","4","A124",75,"A143","A153","2","A174","1","A192","foreign","FALSE"
"1","A14",18,"terrible","edu",1864,"A62","A73",4,"A92","A101","2","A121",30,"A143","A152","2","A173","1","A191","foreign","FALSE"
"1","A12",60,"poor","newcar",7408,"A62","A72",4,"A92","A101","2","A122",24,"A143","A152","1","A174","1","A191","foreign","FALSE"
"1","A14",48,"terrible","usedcar",11590,"A62","A73",2,"A92","A101","4","A123",24,"A141","A151","2","A172","1","A191","foreign","TRUE"
"1","A11",24,"good","goods/repair",4110,"A61","A75",3,"A93","A101","4","A124",23,"A141","A151","2","A173","2","A191","foreign","TRUE"
"1","A11",6,"terrible","goods/repair",3384,"A61","A73",1,"A91","A101","4","A121",44,"A143","A151","1","A174","1","A192","foreign","TRUE"
"0","A12",13,"poor","goods/repair",2101,"A61","A72",2,"A92","A103","4","A122",23,"A143","A152","1","A172","1","A191","foreign","FALSE"
"1","A11",15,"poor","goods/repair",1275,"A65","A73",4,"A92","A101","2","A123",24,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A11",24,"poor","goods/repair",4169,"A61","A73",4,"A93","A101","4","A122",28,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",10,"poor","goods/repair",1521,"A61","A73",4,"A91","A101","2","A123",31,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A12",24,"terrible","edu",5743,"A61","A72",2,"A92","A101","4","A124",24,"A143","A153","2","A173","1","A192","foreign","FALSE"
"0","A11",21,"poor","goods/repair",3599,"A61","A74",1,"A92","A101","4","A123",26,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A12",18,"poor","goods/repair",3213,"A63","A72",1,"A94","A101","3","A121",25,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A12",18,"poor","biz",4439,"A61","A75",1,"A93","A102","1","A121",33,"A141","A152","1","A174","1","A192","foreign","FALSE"
"0","A13",10,"poor","newcar",3949,"A61","A72",1,"A93","A103","1","A122",37,"A143","A152","1","A172","2","A191","foreign","FALSE"
"0","A14",15,"terrible","goods/repair",1459,"A61","A73",4,"A92","A101","2","A123",43,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A12",13,"terrible","goods/repair",882,"A61","A72",4,"A93","A103","4","A121",23,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A12",24,"poor","goods/repair",3758,"A63","A71",1,"A92","A101","4","A124",23,"A143","A151","1","A171","1","A191","foreign","TRUE"
"0","A14",6,"poor","biz",1743,"A62","A73",1,"A93","A101","2","A121",34,"A143","A152","2","A172","1","A191","foreign","FALSE"
"1","A12",9,"terrible","edu",1136,"A64","A75",4,"A93","A101","3","A124",32,"A143","A153","2","A173","2","A191","foreign","FALSE"
"0","A14",9,"poor","goods/repair",1236,"A61","A72",1,"A92","A101","4","A121",23,"A143","A151","1","A173","1","A192","foreign","TRUE"
"1","A12",9,"poor","goods/repair",959,"A61","A73",1,"A92","A101","2","A123",29,"A143","A152","1","A173","1","A191","german","FALSE"
"0","A14",18,"terrible","usedcar",3229,"A65","A71",2,"A93","A101","4","A124",38,"A143","A152","1","A174","1","A192","foreign","FALSE"
"1","A11",12,"good","goods/repair",6199,"A61","A73",4,"A93","A101","2","A122",28,"A143","A151","2","A173","1","A192","foreign","TRUE"
"0","A14",10,"poor","edu",727,"A63","A75",4,"A93","A101","4","A124",46,"A143","A153","1","A173","1","A192","foreign","FALSE"
"1","A12",24,"poor","newcar",1246,"A61","A72",4,"A93","A101","2","A121",23,"A142","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",12,"terrible","goods/repair",2331,"A65","A75",1,"A93","A102","4","A121",49,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A14",36,"poor","goods/repair",4463,"A61","A73",4,"A93","A101","2","A123",26,"A143","A152","2","A174","1","A192","foreign","FALSE"
"0","A14",12,"poor","goods/repair",776,"A61","A73",4,"A94","A101","2","A121",28,"A143","A152","1","A173","1","A191","foreign","FALSE"
"1","A11",30,"poor","goods/repair",2406,"A61","A74",4,"A92","A101","4","A121",23,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A12",18,"poor","edu",1239,"A65","A73",4,"A93","A101","4","A124",61,"A143","A153","1","A173","1","A191","foreign","FALSE"
"0","A13",12,"poor","goods/repair",3399,"A65","A75",2,"A93","A101","3","A123",37,"A143","A152","1","A174","1","A191","foreign","FALSE"
"0","A13",12,"poor","newcar",2247,"A61","A73",2,"A92","A101","2","A123",36,"A142","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",6,"poor","goods/repair",1766,"A61","A73",1,"A94","A101","2","A122",21,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A11",18,"poor","goods/repair",2473,"A61","A71",4,"A93","A101","1","A123",25,"A143","A152","1","A171","1","A191","foreign","FALSE"
"0","A14",12,"poor","biz",1542,"A61","A74",2,"A93","A101","4","A123",36,"A143","A152","1","A173","1","A192","foreign","FALSE"
"0","A14",18,"terrible","usedcar",3850,"A61","A74",3,"A93","A101","1","A123",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",18,"poor","goods/repair",3650,"A61","A72",1,"A92","A101","4","A123",22,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A11",36,"poor","goods/repair",3446,"A61","A75",4,"A93","A101","2","A123",42,"A143","A152","1","A173","2","A191","foreign","FALSE"
"0","A12",18,"poor","goods/repair",3001,"A61","A74",2,"A92","A101","4","A121",40,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A14",36,"poor","newcar",3079,"A65","A73",4,"A93","A101","4","A121",36,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",18,"terrible","goods/repair",6070,"A61","A75",3,"A93","A101","4","A123",33,"A143","A152","2","A173","1","A192","foreign","FALSE"
"0","A14",10,"terrible","goods/repair",2146,"A61","A72",1,"A92","A101","3","A121",23,"A143","A151","2","A173","1","A191","foreign","TRUE"
"0","A14",60,"terrible","newcar",13756,"A65","A75",2,"A93","A101","4","A124",63,"A141","A153","1","A174","1","A192","foreign","FALSE"
"1","A12",60,"good","biz",14782,"A62","A75",3,"A92","A101","4","A124",60,"A141","A153","2","A174","1","A192","foreign","FALSE"
"1","A11",48,"good","biz",7685,"A61","A74",2,"A92","A103","4","A123",37,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A14",18,"poor","goods/repair",2320,"A61","A71",2,"A94","A101","3","A121",34,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",7,"poor","goods/repair",846,"A65","A75",3,"A93","A101","4","A124",36,"A143","A153","1","A173","1","A191","foreign","FALSE"
"1","A12",36,"poor","newcar",14318,"A61","A75",4,"A93","A101","2","A124",57,"A143","A153","1","A174","1","A192","foreign","FALSE"
"0","A14",6,"terrible","newcar",362,"A62","A73",4,"A92","A101","4","A123",52,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A11",20,"poor","goods/repair",2212,"A65","A74",4,"A93","A101","4","A123",39,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A12",18,"poor","usedcar",12976,"A61","A71",3,"A92","A101","4","A124",38,"A143","A153","1","A174","1","A192","foreign","FALSE"
"0","A14",22,"poor","newcar",1283,"A65","A74",4,"A92","A101","4","A122",25,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A13",12,"poor","newcar",1330,"A61","A72",4,"A93","A101","1","A121",26,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",30,"poor","biz",4272,"A62","A73",2,"A93","A101","2","A122",26,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A14",18,"terrible","goods/repair",2238,"A61","A73",2,"A92","A101","1","A123",25,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",18,"poor","goods/repair",1126,"A65","A72",4,"A92","A101","2","A121",21,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A12",18,"terrible","goods/repair",7374,"A61","A71",4,"A93","A101","4","A122",40,"A142","A152","2","A174","1","A192","foreign","FALSE"
"0","A12",15,"terrible","biz",2326,"A63","A73",2,"A93","A101","4","A123",27,"A141","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",9,"poor","biz",1449,"A61","A74",3,"A92","A101","2","A123",27,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A14",18,"poor","newcar",1820,"A61","A73",2,"A94","A101","2","A122",30,"A143","A152","1","A174","1","A192","foreign","FALSE"
"0","A12",12,"poor","goods/repair",983,"A64","A72",1,"A92","A101","4","A121",19,"A143","A151","1","A172","1","A191","foreign","TRUE"
"0","A11",36,"poor","newcar",3249,"A61","A74",2,"A93","A101","4","A124",39,"A141","A153","1","A174","2","A192","foreign","FALSE"
"0","A11",6,"terrible","goods/repair",1957,"A61","A74",1,"A92","A101","4","A123",31,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",9,"terrible","goods/repair",2406,"A61","A71",2,"A93","A101","3","A123",31,"A143","A152","1","A174","1","A191","foreign","FALSE"
"0","A12",39,"poor","edu",11760,"A62","A74",2,"A93","A101","3","A124",32,"A143","A151","1","A173","1","A192","foreign","TRUE"
"0","A11",12,"poor","goods/repair",2578,"A61","A71",3,"A92","A101","4","A124",55,"A143","A153","1","A174","1","A191","foreign","FALSE"
